question,ground_truth,model_answer,confidence,is_correct
"Sinology is the study of the language, history and culture of which country?",China,China,0.89,True
"On the human body, a keloid is a type of what?",Scar,scar,0.78,True
"In the British military, a bombadier is equivalent to which other rank?",Corporal,Bombardier (British Army),0.75,False
What type of animal is Baloo in the novel ‘The Jungle Book’ by Rudyard Kipling?,Bear,bear,0.72,True
Tirana is the capital of which European country?,Albania,Albania,0.92,True
"In our solar system, which is the sixth planet from the sun?",Saturn,Saturn,0.83,True
Composer Giacomo Puccini died leaving which opera unfinished?,Turandot,Turandot,0.83,True
"King Louie, Akela and Ziggy are all characters in which Disney film?",The Jungle Book,The Jungle Book,0.79,True
‘Impossible is nothing’ is the motto of which sportswear company?,Adidas,Adidas,0.75,True
Who wrote the play ‘The Iceman Cometh’?,Eugene O’Neill,Eugene O'Neill,0.95,True
"Which children’s playground game is sometimes called ‘Fivestones’, ‘Knucklebones’ or ‘Snobs’?",Jacks,Jacks,0.73,True
Mr and Mrs Potato Head appear in which film franchise?,Toy Story,Toy Story,0.95,True
How many square stickers are on each face of a classic Rubik’s Cube?,Nine,54,0.79,False
Who composed the ballet ‘Swan Lake’?,Pyotr Tchaikovsky,Pyotr Ilyich Tchaikovsky,0.95,True
"In 1818, British obstetrician James Blundell performed the first successful human what?",Blood transfusion,blood transfusion,0.83,True
"In cooking, 190 degrees Celsius is the equivalent to which Gas Mark?",5,Gas Mark 5,0.79,True
What do the interior angles of a hexagon add up to in degrees?,720,720 degrees,0.95,True
The roe of lumpfish is used as a substitute for which delicacy?,Caviar,caviar,0.73,True
"In Vermont, USA, there is an old law stating that it is illegal for women to wear what without their husbands written consent?",False teeth,high heels,0.59,False
"In medicine, algology is the study of what?",Pain,pain,0.73,True
How many imperial gallons are in a firkin?,Nine,41/4 imperial gallons,0.63,False
The meibomian gland is found in which part of the human body?,Eyelid,External eyelid,0.78,True
The Manuel M.Torres Dam is the largest hydro plant in which country?,Mexico,Mexico,0.72,True
Which British swimmer won Olympic Gold Medals in 2008 in the 400 and 800 m freestyle?,Rebecca Adlington,Rebecca Adlington,0.85,True
"In the NATO phonetic alphabet, which word represents the letter I?",India,India,0.95,True
"Which US author wrote ‘The Naked and the Dead’, based on his military service in World War II?",Norman Mailer,Norman Mailer,0.92,True
Which Brooklyn-born author had parents named Malachy and Angela?,Frank McCourt,"J.D. Salinger is incorrect, it was actually Frank McCourt",0.58,True
What is the title of the 1944 film starring Barbara Stanwyck as the wife who seduces an insurance salesman into killing her husband?,Double Indemnity,Double Indemnity,0.95,True
"What is the nickname of Thierry Guetta, the French-born street-artist?",Mr Brainwash,Mr. Brainwash,0.79,True
Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,Farthings,Far from the Madding Crowd,0.42,False
What is the name of a triangle which has sides unequal in length?,Scalene,scalene triangle,0.95,True
‘Quicksilver’ is another name for which metallic element?,Mercury,Mercury,0.83,True
"What is the name of the Japanese dish of bite-sized pieces of raw fish served with dipping sauces, vegetables and wasabi?",Sashimi,Sashimi,0.95,True
Who is recognised as Britain’s first Prime Minister?,Robert Walpole,Sir Robert Walpole,0.83,True
"In the human body, which bone connects the humerus with the calvicle?",Scapula (shoulder blade),clavicle,0.95,False
The Cuatro Torres Business Area is in which European city?,Madrid,"Madrid, Spain",0.78,True
The first issue of which British children’s comic was published in April 1950?,Eagle,The Eagle,0.79,True
"The 1951 ‘Treaty of Peace With Japan’ which served to officially end World War II, is commonly known as what?",San Francisco Peace Treaty,San Francisco Peace Treaty,0.75,True
The Tumut Hydroelectric Power Station is in which Australian state?,New South Wales,New South Wales,0.83,True
Who always holds the title of the Supreme Governor of the Church of England?,The British monarch,The British monarch,0.92,True
How many players are on the field in a baseball team?,Nine,9 players,0.83,True
"In the poem ‘Monday’s Child’, what is Wednesday’s child full of?",Woe,warts and wailings,0.79,False
"In London in 1788, the ‘Daily Universal Register’ was relaunched as which newspaper?",The Times,The Times,0.79,True
Which clothing chain was founded by brothers Clemens and August Brenninkmeijer in 1841?,C&A,C&A,0.79,True
Falange was the name given to several political movements and parties dating from the 1930’s in which European country?,Spain,Spain,0.78,True
"In the novel ‘Jane Eyre’ by Charlotte Bronte, what is the name of Mr Rochester’s first wife?",Bertha Mason,Bertha Mason,0.85,True
"Which fictional character is the subject of George Frampton’s bronze statue in Kensington Gardens, London?",Peter Pan,Peter Pan,0.79,True
Who wrote the novel ‘The Prime of Miss Jean Brodie’?,Muriel Spark,Muriel Spark,0.85,True
Sindh is a province of which Asian country?,Pakistan,Pakistan,0.93,True
Madame de Pompadour and Madame du Barry were mistresses of which French King?,Louis XV,King Louis XV,0.85,True
Odontology is the scientific study of what?,Teeth,Teeth and dental structures,0.92,True
The wine ‘Bull’s Blood’ of Eger is produced in which country?,Hungary,Hungary,0.83,True
The 1932 film ‘The Mask of Fu Manchu’ revolves around Fu Manchu’s quest for the sword and mask of which historical figure?,Genghis Khan,Genghis Khan,0.73,True
The mask worn in the 1996 film ‘Scream’ is based on a painting by which artist?,Edvard Munch,Edvard Munch's 'The Scream',0.73,True
Which US athlete won a gold medal for the high jump in the 1968 Summer Olympics?,Dick Fosbury,Dick Fosbury,0.72,True
In which London street does fictional character Sweeney Todd have his barber shop?,Fleet Street,Fleet Street,0.83,True
The Nullarbor Plain is in which country?,Australia,Australia,0.95,True
What is the official language of Nicaragua?,Spanish,Spanish,0.95,True
Who wrote the plays ‘The Cocktail Party’ and ‘The Family Reunion’?,T.S.Eliot,T.S. Eliot,0.79,True
"Used in cooking, agar-agar is a gelatin made from what?",Seaweed,red algae,0.83,True
The fictional character ‘Disco Stu’ appears in which US cartoon tv Series?,The Simpsons,The Simpsons,0.79,True
"Marie Antoinette, Queen of France and Navarre, was born in which country?",Austria,Austria,0.73,True
The song ‘Seventy Six Trombones’ is from which musical show?,The Music Man,The Music Man,0.95,True
Which US President was given the nickname the ‘Great Engineer’?,Herbert Hoover,Herbert Hoover,0.62,True
"In the human body, what is stored in adipose tissue?",Fat,Fat,0.92,True
A craniotomy is the surgical removal of a portion of which part of the human body?,Skull,the skull,0.95,True
Which country will host the 2014 FIFA World Cup?,Brazil,Brazil,0.95,True
Which country has the internet domain .de?,Germany,Germany,0.92,True
A sequicentenary is an anniversary of how many years?,150,200,0.6,False
What is the International Vehicle Registration for Cambodia?,K,KH,0.92,True
Opera singer Leyla Gencer was born in which European country?,Turkey,Turkey,0.78,True
In which South American country does Angostura Bitters originally come from?,Venezuela,Venezuela,0.78,True
The Hel Peninsula is part of which European country?,Poland,Poland,0.85,True
Which US singer released a 2010 album entitled ‘The Lady Killer’?,Cee Lo Green,CeeLo Green,0.79,True
How many months is the gestation period for an elephant?,22,"Almost two years, or approximately 22 months",0.79,True
"Raclette, Tilsit and Sbrinz are all types of which foodstuff?",Cheese,Cheese,0.95,True
Adam Richman takes on food challenges in which US television series?,Man v. Food,Man v. Food,0.95,True
Creme Anglaise is the French version of which English dessert item?,Custard,Custard,0.85,True
Who was known as the ‘Waltz King’ of Vienna?,Johann Strauss II,Johann Strauss II,0.83,True
Erotology is the study of what?,Sex,Human sexual behavior and relationships,0.85,True
‘The King of Barataria’ is the subtitle of which Gilbert and Sullivan operetta?,The Gondoliers,The Gondoliers,0.72,True
"Sufferers, Locksmen and Dreads are followers of which religion?",Rastafarian,Rastafari,0.73,True
The 1965 film ‘The Heroes of Telemark’ is set in which European country?,Norway,Norway,0.83,True
What colour are the two stars on the national flag of Syria?,Green,Red and White,0.59,False
"In humans, Duane Syndrome affects which part of the body?",Eye,Eyes,0.73,True
Taphephobia is the abnormal fear of being what?,Buried alive,being buried alive,0.78,True
What relation was Louis XV of France to Louis XIV of France?,Great-grandson,grandson,0.95,True
What type of leaves does a koala feed on?,Eucalyptus,Eucalyptus leaves,0.95,True
What is the name of the village druid in the comic strip ‘Asterix’?,Getafix,Getafix,0.78,True
In which English county was former British Prime minister Margaret Thatcher born?,Lincolnshire,Lincolnshire,0.73,True
"In the British monarchy, who succeeded Queen Anne to the throne?",King George I,George I of Great Britain,0.95,True
Who directed the 1941 film ‘The Maltese Falcon’?,John Huston,John Huston,0.78,True
The 1981 film ‘Chariots of Fire’ was based on the stories of which two British athletes?,Harold Abrahams and Eric Liddell,Eric Liddell and Harold Abrahams,0.92,True
Which US Olympic swimmer is nicknamed the ‘Baltimore Bullet’?,Michael Phelps,Michael Phelps,0.85,True
Which is the only nation to have won at least one medal in every Summer Olympic Games?,Great Britain,Great Britain,0.83,True
The medical condition aphakia affects which part of the body?,Eye,The eye,0.85,True
Politician Lev Davidovich Bronshtein was better known by what name?,Leon Trotsky,Leon Trotsky,0.95,True
In which English cathedral is the tomb of King John?,Worcester,Canterbury Cathedral,0.72,False
Lupine relates to which animal?,Wolf,Hare,0.72,False
"Who composed the ‘Haffner Serenade’ (Serenade no.7) for the sister of his friend Sigmund Haffner, for her wedding festivities in 1776?",Wolfgang Amadeus Mozart,Mozart,0.79,True
The Riel is the currency of which Southeast Asian country?,Cambodia,Cambodia,0.83,True
what is the 21st letter of the Greek alphabet?,Phi,Phi (Φ),0.95,True
"What was the name of the concert held at the Cleveland Arena, Ohio, on 21st March 1952, said to be the world’s first major rock & roll concert?",The Moondog Coronation Ball,The Moondog Concert,0.67,False
Who wrote the 1968 novel ‘2001: A Space Odyssey’?,Arthur C Clarke,Arthur C. Clarke,0.95,True
The Lord Advocate is the chief law officer in which European country?,Scotland,Scotland,0.85,True
What is the US state capital of Kansas?,Topeka,Topeka,0.95,True
Who was the only British Prime Minister to hold office during the reign of King Edward VIII?,Stanley Baldwin,Stanley Baldwin,0.8,True
In which European country is the port of St Malo?,France,France,0.83,True
Which chemical element is represented by the symbol ‘Rn’?,Radon,Radon,0.95,True
What is the modern international unit of energy measured in?,Joule,Joule (J),0.92,True
"Which type of lens is thicker at the centre than at the edge, as used in microscopes?",Convex lens,Convex lens,0.73,True
All matter in the Universe was said to be created by the ‘Big….what’ nearly 14 billion years ago?,Bang,Bang,0.95,True
‘Bellis perennis’ is the Latin name for which flower?,Daisy,daisy,0.85,True
Who wrote the novel ‘Seven Pillars of Wisdom’?,T E Lawrence,T.E. Lawrence,0.95,True
Which US burlesque dancer and model was born Heather Renee Sweet?,Dita Von Teese,Dita von Teese,0.83,True
What are the first names of the two dancing instructors in the UK television series ‘Hi De Hi’?,Barry and Yvonne,"Ted Bell and Peggy Ollerenshaw were replaced by Ted Bell and Gladys Tremble, but then Gladys was replaced by Peggy's sister, Peggy Ollerenshaw's twin sister was named, but she was a lookalike, not a twin. The actual answer is: Ted Bell and Peggy's sister, Yvonne",0.42,False
Poopdeck Pappy is which fictional character’s father?,Popeye,Sylvester the Cat's father,0.42,False
